uid;abstract_id;conference_acronym;conference_place;creators_json;creator_names;creators_amount;creators_group_type;creators_group_publication;groups_with_female;creators_with_female_YN;creators_with_female_amount;creators_with_male_amount;creators_group_interdisciplinary;title;format_type
14000;0;DHd 2014;Passau;[{'affiliation': 'Ruhr-Universität-Bochum, Deutschland', 'name': 'Arzhanov, Yury'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'name': 'Roeder, Thorsten'}];"Arzhanov, Yury;Roeder, Thorsten";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;The Glossarium Graeco-Arabicum;
14001;1;DHd 2014;Passau;[{'affiliation': 'Heidelberg University, Germany', 'name': 'Bögel, Thomas'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Strötgen, Jannik'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Mayer, Christoph'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Gertz, Michael'}];"Mayer, Christoph;Gertz, Michael";4;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;4;Kleingruppe_INTER;A Flexible NLP Pipeline for Computational Narratology;
14002;2;DHd 2014;Passau;[{'affiliation': 'Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland', 'name': 'Wolff, Kerstin'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Berlin, Deutschland', 'name': 'Geyken, Alexander'}, {'affiliation': 'Institut für Germanistik und Zentrum für Medien und Interaktivität der JLU Gießen, Deutschland', 'name': 'Gloning, Thomas'}];"Wolff, Kerstin;Geyken, Alexander;Gloning, Thomas";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Frauenfragen um 1900 als Gegenstand kontroverser Kommunikation im Umkreis der ›ersten‹ Frauenbewegung. Wie können digitale Ressourcen die Untersuchung und die Ergebnisdokumentation verbessern?;
14003;3;DHd 2014;Passau;[{'affiliation': 'Institut für Europäische Kunstgeschichte, Universität Heidelberg, Germany', 'name': 'Wübbena, Thorsten'}, {'affiliation': 'Exzellenzcluster 'Asien und Europa', Universität Heidelberg, Germany', 'name': 'Arnold, Matthias'}, {'affiliation': 'Exzellenzcluster 'Asien und Europa', Universität Heidelberg, Germany', 'name': 'Decker, Eric'}];"Wübbena, Thorsten;Arnold, Matthias;Decker, Eric";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;"'""Losing My Religion' – Einsatz einer Videoannotationsdatenbank in der kunstgeschichtlichen Analyse von Musikvideos""";
14004;4;DHd 2014;Passau;[{'affiliation': 'Universität Konstanz, Germany', 'name': 'Bögel, Tina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Gold, Valentin'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Hautli-Janisz, Anette'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Rohrdantz, Christian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Sulger, Sebastian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Butt, Miriam'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Holzinger, Katharina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Keim, Daniel A.'}];"Bögel, Tina;Gold, Valentin;Hautli-Janisz, Anette;Rohrdantz, Christian;Sulger, Sebastian;Butt, Miriam;Holzinger, Katharina;Keim, Daniel A.";8;Großgruppe;;Großgruppe_WAHR;WAHR;4;4;Großgruppe_NICHT;Auf den Weg zur Visualisierung von linguistischen Mustern der Deliberation: eine Fallstudie anhand der Daten von S21;
14005;5;DHd 2014;Passau;[{'affiliation': 'Max-Planck-Institut für europäische Rechtsgeschichte', 'name': 'Caesar, Ingo'}, {'affiliation': 'Institut für Philosophie der Goethe-Universität Frankfurt', 'name': 'Wagner, Andreas'}];"Caesar, Ingo;Wagner, Andreas";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;Die Schule von Salamanca. Eine digitale Quellensammlung und ein Wörterbuch ihrer juristisch-politischen Sprache;
14006;6;DHd 2014;Passau;[{'affiliation': 'Karlsruher Institut für Technologie, Germany', 'name': 'Chandna, Swati'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Busch, Hannah'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Krause, Celia'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Schmid, Oliver'}, {'affiliation': 'Technische Universität Darmstadt, Universität Trier, Germany', 'name': 'Vanscheidt, Philipp'}];"Chandna, Swati;Busch, Hannah;Krause, Celia;Schmid, Oliver;Vanscheidt, Philipp";5;Kleingruppe;;Kleingruppe_WAHR;WAHR;3;2;Kleingruppe_INTER;eCodicology - Mittelalterliche Handschriften als Gegenstand 'archäologischer' Forschung;
14007;7;DHd 2014;Passau;[{'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chiarcos, Christian'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chobotsky, Jens'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Detmold, Gaye'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Mittmann, Roland'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Sukhareva, Maria'}];"Chiarcos, Christian;Chobotsky, Jens;Detmold, Gaye;Mittmann, Roland;Sukhareva, Maria";5;Kleingruppe;;Kleingruppe_WAHR;WAHR;2;3;Kleingruppe_NICHT;New Technologies for Old Germanic Languages: Resources and Research on Parallel Gospels in Older Continental Western Germanic;
14008;8;DHd 2014;Passau;[{'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Cividini, Iacopo'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'De Feo, Adriana'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Kelnreiter, Franz'}];"Cividini, Iacopo;De Feo, Adriana;Kelnreiter, Franz";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Zwischen Ton und Textgenese: Digital gestützte Verfahren zur kritischen Edition von Operntexten in der 'Online-Edition der Libretti zu Mozarts Opern';
14009;9;DHd 2014;Passau;[{'affiliation': 'Albertina, Austria', 'name': 'Doppelbauer, Regina'}];Doppelbauer, Regina;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Albertina - Sammlungen online: eine digitale Ressource und ihre Nutzung;
