idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
dh0001,4.1415009517585656e-05,3.10316149319713e-05,5.354480194548128e-05,0.0001646054920154,0.0001318404080975,5.522254990515788e-05,6.444163306611556e-05,5.619216413601962e-05,4.360710159462008e-05,4.78559846827135e-05,0.0026240996168253,0.0001964617286871,4.880196376055144e-05,4.764586881613497e-05,6.113142320941105e-05,0.0335387406745431,4.233431489426498e-05,0.0462934425188307,0.025405526822245,9.925871985485128e-05,8.119166110550269e-05,0.040662664782968,0.2191037598798243,0.0001715459273262,7.875529444147434e-05,7.70727900770348e-05,0.1368908738629896,3.9218505649918586e-05,0.0836554251176108,0.0001355147985405,0.1621694975315266,5.958667447369637e-05,3.29686530982673e-05,4.799778504037097e-05,9.5315314633997e-05,4.117754369930273e-05,2.7173082419351257e-05,0.179075777233612,0.0684460862744413,6.119687496168808e-05
dh0002,1.5739738155883934e-05,1.1793538122357528e-05,2.034965516240381e-05,6.255817331743127e-05,5.010583182261399e-05,2.0987281807537505e-05,0.02120293700452,2.135578284819288e-05,1.6572840833101936e-05,1.818762513571466e-05,3.463012779740672e-05,7.466510821094626e-05,0.0260102763478337,1.810777078433661e-05,2.323294394038685e-05,0.0002318327852204,1.60891193604949e-05,0.3468223522721121,2.8781883517226734e-05,3.77231896938285e-05,3.085681981309797e-05,0.0250803765692234,0.3104571587458797,0.2012604330527595,2.993088079267477e-05,2.929144648006969e-05,0.0115936781588398,1.490495878149345e-05,2.550214437703858e-05,5.150228069778969e-05,2.235096344756674e-05,0.0019479591379174,1.2529707783806151e-05,1.824151623765903e-05,3.6224501987565e-05,1.5649489479274094e-05,1.032710621464986e-05,0.0545803996417808,2.114603848863025e-05,2.325781882161191e-05
dh0003,2.5240068125692163e-05,0.0092811445073026,3.263247949530902e-05,0.0001003175872884,8.034915169312917e-05,3.365497045434157e-05,3.9273471808064265e-05,3.4245894603041794e-05,2.6576022264218807e-05,2.9165472317490968e-05,5.553248574730717e-05,0.0001197321327198,2.974199219876664e-05,2.9037418772447614e-05,3.725608914253372e-05,0.001915469882568,2.580033191908447e-05,0.0745243552771131,4.615430660699843e-05,6.04924852218527e-05,0.0741473418226879,8.2270524375896e-05,0.3465624974572737,0.1838054923920865,4.799682579132819e-05,4.697143607694948e-05,6.702762737166283e-05,2.390142525432635e-05,0.0046720112143062,0.1822398280696099,3.584175508539507e-05,3.631465356686496e-05,2.009249931137258e-05,2.9251891486029425e-05,5.808920637244645e-05,2.509534635692281e-05,1.6560432061671933e-05,0.1214860378644451,3.390955089313316e-05,3.729597822394796e-05
dh0004,1.689445055815127e-05,1.26587459550182e-05,2.1842564317891067e-05,6.714762060539796e-05,0.0041869013125744,2.2526969085243825e-05,2.628771540568471e-05,0.0020894822909229,1.7788672040791465e-05,1.952192155818392e-05,3.71706934449248e-05,8.014275501891315e-05,1.990781539101746e-05,1.943620886221347e-05,2.493737944264568e-05,0.0364136369680535,1.7269463371502345e-05,0.02715075190868,3.089340516573214e-05,0.0506712054405497,3.312056474835872e-05,5.506781120954831e-05,0.0005170620482369,0.0166024571287102,3.2126696181710754e-05,3.1440351131208525e-05,0.0403427808082742,1.5998429371017838e-05,2.7373054941428774e-05,5.5280635946003255e-05,2.3990694327453147e-05,0.388537547091539,1.3448923137419766e-05,1.957976626616485e-05,3.888203550538672e-05,1.6797580979393153e-05,1.1084732390351546e-05,0.432631895894271,2.2697372612477527e-05,2.4964079216608533e-05
dh0005,4.162588454045786e-05,3.11896202683159e-05,5.381743888234222e-05,0.0001654436226183,0.0001325117069671,5.550372952119459e-05,6.47697539818181e-05,5.64782807887851e-05,4.382913821016768e-05,4.809965556392516e-05,9.158409670095292e-05,0.0562067514155903,4.9050451334116896e-05,4.788846983913129e-05,0.0026073194780882,0.2882971905509625,4.254987079357768e-05,0.0007033751231404,0.2012003839271177,9.97641207967675e-05,8.160506903639753e-05,0.0001356804320693,0.1285678178385319,0.0001724193969154,7.915629699369159e-05,7.746522573163529e-05,0.0535739544314149,3.941819661636467e-05,6.744389943843249e-05,0.0001362048065008,5.911017163195989e-05,5.989007513661747e-05,3.313652135562484e-05,4.8242177934061016e-05,9.580063672827254e-05,4.138720960474517e-05,2.731144105897093e-05,0.2665473977800059,5.592358321963256e-05,6.150847436870437e-05
dh0006,4.183891800086634e-05,3.134924288794162e-05,5.409286642849524e-05,0.0001662903320112,0.0001331898769998,0.3275957696196623,0.0742733783673403,5.67673260241521e-05,4.405344750912224e-05,4.834582056876198e-05,9.205280690985253e-05,0.0001984726371572,4.930148233316145e-05,4.813355403508589e-05,6.175714149839242e-05,0.000616251223158,4.276763304211991e-05,0.2156550879425006,7.650717263918222e-05,0.0001002746948329,8.202270845561035e-05,0.000136374819042,0.1292258037872674,0.0001733018070112,0.0717289324299115,7.786167821021011e-05,0.0001111076004799,3.961993154454581e-05,6.77890646508821e-05,0.0206081507416532,5.9412686390435625e-05,6.019658129477674e-05,3.330610784941879e-05,4.848907234162479e-05,9.629092639723376e-05,4.159902157165197e-05,2.745121588566272e-05,0.1578785746616952,5.6209789617003886e-05,6.182326319022419e-05
dh0007,1.749085796938187e-05,1.3105624643287564e-05,2.261364989978861e-05,6.951806399079932e-05,5.5680341004876e-05,2.332221550469721e-05,0.020352593223849,2.373171401730513e-05,1.8416647233270263e-05,2.021108387563768e-05,3.848289220361352e-05,0.0910122923481895,2.06106005215398e-05,2.0122345352521355e-05,2.5817718099713617e-05,0.0034668954033233,1.7879109474362436e-05,0.104061953425705,3.1984003272819005e-05,4.192007176689591e-05,3.428978597944123e-05,5.701181350856218e-05,0.247649115492698,7.244922758778424e-05,0.0096610712267552,3.255025750915214e-05,4.644879342417612e-05,1.6563205467883607e-05,2.8339377745410924e-05,5.723215137778685e-05,0.0182107016923178,2.5165322240108783e-05,1.3923696638020995e-05,2.027097061584816e-05,4.0254648012631325e-05,1.7390568703520272e-05,1.1476045296702553e-05,0.0018161064352665,0.5028091525885294,2.584536042833457e-05
dh0008,2.252754807623513e-05,1.6879537283852644e-05,2.9125505803569272e-05,8.953657570491763e-05,7.171412409181199e-05,3.0038110877470585e-05,3.505279858481247e-05,3.0565529111960297e-05,2.371992881520268e-05,2.6031093756422448e-05,4.956447566763442e-05,0.00010686466307,2.6545655732945903e-05,2.5916801973296867e-05,3.3252221630757345e-05,0.000331811378498,2.302760098727191e-05,0.3503431906258085,4.119415826600272e-05,5.399142990818923e-05,4.416391714619671e-05,7.342900914156095e-05,0.1412255997330329,0.0111157537046197,4.283866410884248e-05,4.192347180537837e-05,5.982424811738498e-05,2.1332767559343167e-05,3.650002165290547e-05,0.0083405442235289,3.19898843696461e-05,3.241196101474229e-05,1.7933182349374278e-05,2.610822555988128e-05,5.1846428573367616e-05,2.239837938352821e-05,1.4780702158754946e-05,0.047806647648309,0.3472371852969421,0.0923462387669773
dh0009,2.319877947356562e-05,1.7382480407489116e-05,2.999333011770805e-05,9.220440979938796e-05,7.385091996323041e-05,3.09331271956789e-05,0.6129829078822894,3.147626039734197e-05,2.442668841945825e-05,2.68067168902422e-05,5.104130004939818e-05,0.1448336013197922,2.733661076854857e-05,2.668901966623014e-05,3.424300567498727e-05,0.0003416980387987,2.371373197389985e-05,0.034444602937039,4.24215804568763e-05,5.560015993147021e-05,4.5479826348445945e-05,7.56169017716816e-05,0.1922558871199423,9.609212176905982e-05,4.41150860377733e-05,4.3172624641081575e-05,6.16067729408672e-05,2.196839924590431e-05,3.758757722947168e-05,7.590914413319219e-05,0.0014518014137658,3.3377708632215925e-05,1.8467519908269625e-05,2.6886146914885103e-05,5.339124608214077e-05,2.3065762067194715e-05,1.5221108337446584e-05,0.012340778433937,3.116711846021903e-05,3.427966872987777e-05
dh0010,1.7834267868520468e-05,1.3362936276872267e-05,2.3057639053713254e-05,7.088295937701661e-05,5.677355097330404e-05,2.378011640859665e-05,2.7750068377939348e-05,2.4197654883747192e-05,1.8778233782078767e-05,2.060790181832317e-05,3.9238452974465255e-05,8.460099698471134e-05,0.4275989238602463,2.051742103148678e-05,0.0011170845858144,0.0013534433746249,1.8230142179106064e-05,0.3351646663566352,3.261196694145061e-05,4.274311701959607e-05,3.496302064667695e-05,5.813116518135926e-05,0.0038181054807946,7.387167250055771e-05,3.391386440553773e-05,3.3189338831962085e-05,4.736075414633328e-05,1.6888402135142282e-05,2.8895784004625784e-05,5.835582909368481e-05,2.5325266868839417e-05,2.5659410110892145e-05,1.419707003493894e-05,2.066896435559584e-05,4.104499486914782e-05,1.773200955535802e-05,1.1701362291714998e-05,0.2298205972076777,2.395999927249721e-05,2.6352799950937286e-05
dh0011,4.162588454045786e-05,3.11896202683159e-05,5.381743888234222e-05,0.0001654436226183,0.0001325117069671,5.550372952119459e-05,6.47697539818181e-05,5.64782807887851e-05,4.382913821016768e-05,4.809965556392516e-05,0.0128209680403812,0.000197462063397,4.9050451334116896e-05,4.788846983913129e-05,6.144268935223353e-05,0.5327013622696242,4.254987079357768e-05,0.0159786358555568,0.1222782034762999,9.97641207967675e-05,8.160506903639753e-05,0.0001356804320693,0.0674667749088665,0.0001724193969154,7.915629699369159e-05,7.746522573163529e-05,0.0001105418679577,3.941819661636467e-05,6.744389943843249e-05,0.0001362048065008,0.0433390155801449,5.989007513661747e-05,3.313652135562484e-05,0.0127776261216143,9.580063672827254e-05,4.138720960474517e-05,2.731144105897093e-05,0.1901710941179241,5.592358321963256e-05,6.150847436870437e-05
dh0012,1.0653113912045596e-05,0.2899495534818435,1.3773240213331865e-05,0.0267560589990404,0.0267476308910819,1.4204804526326832e-05,1.6576213931330125e-05,1.445421677981731e-05,0.0006627710748499,1.2309915224855331e-05,2.3438680654071668e-05,5.053552321828644e-05,1.2553247847303245e-05,0.0149980000005899,1.5724734163801025e-05,0.0021115734698322,0.0260730532950757,0.0210297424052313,0.0176114409224287,2.5532155170181783e-05,0.0808135922960392,0.0293546582187474,0.0830734129890204,0.0326218311103534,2.0258093204239528e-05,1.9825305409170268e-05,0.0254389000695777,1.0088110880944757e-05,0.0013203687807005,3.485824589773097e-05,1.512778403889044e-05,1.532738101964518e-05,8.480471719641205e-06,1.234639029465466e-05,0.1420633100178768,0.0267243098334925,6.989686727751064e-06,0.1522666810034957,1.43122556790226e-05,1.5741570209014395e-05
