,Number,Score,Rank
0,0,"0,01635",35.0
1,1,"0,01225",39.0
2,2,"0,02114",28.0
3,3,"0,06498",7.0
4,4,"0,05205",10.0
5,5,"0,0218",27.0
6,6,"0,02544",20.0
7,7,"0,02218",25.0
8,8,"0,01722",33.0
9,9,"0,01889",31.0
10,10,"0,03597",14.0
11,11,"0,07756",5.0
12,12,"0,01927",29.0
13,13,"0,01881",32.0
14,14,"0,02413",22.0
15,15,"0,24083",4.0
16,16,"0,01671",34.0
17,17,"0,27628",3.0
18,18,"0,0299",18.0
19,19,"0,03919",12.0
20,20,"0,03205",15.0
21,21,"0,05329",9.0
22,22,"0,50041",2.0
23,23,"0,06772",6.0
24,24,"0,03109",16.0
25,25,"0,03043",17.0
26,26,"0,04342",11.0
27,27,"0,01548",37.0
28,28,"0,02649",19.0
29,29,"0,0535",8.0
30,30,"0,02322",24.0
31,31,"0,02352",23.0
32,32,"0,01302",38.0
33,33,"0,01895",30.0
34,34,"0,03763",13.0
35,35,"0,01626",36.0
36,36,"0,01073",40.0
37,37,"0,69768",1.0
38,38,"0,02197",26.0
39,39,"0,02416",21.0
