idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
dh0001,3.76749028713789e-05,3.3416848138699165e-05,2.047421636025648e-05,2.56298996676216e-05,0.2124951407254454,0.0940497317176809,2.15520144418182e-05,2.709176725065839e-05,3.429444650240826e-05,5.5880659889243767e-05,3.314145510837784e-05,0.5074413505430732,0.0001041462968062,3.5234873435875975e-05,0.0834767356016356,4.4736142872611663e-05,2.460702769303145e-05,0.03483963069471,5.6853696305603575e-05,3.3018526241346805e-05,6.716017584587944e-05,0.0001838476516055,9.08093589987568e-05,0.0001098923031102,0.0074397962880378,0.0008945519501444,6.587169083221552e-05,4.10211468186555e-05,3.071377033446838e-05,0.0294941498873646,3.37362841897868e-05,9.094883538537924e-05,2.2860063605374563e-05,6.117732299267796e-05,0.0273660775775129,7.407269880847073e-05,0.0001526390714238,4.112495013147776e-05,4.6485438633857446e-05,1.142990677101802e-05,6.446078849944338e-05,0.0001359451918398,2.2883848231019807e-05,3.3960095078837605e-05,0.000170597206095,4.1941661082621415e-05,4.711808837639613e-05,3.894776325675229e-05,2.78436861602584e-05,0.0002075932427017
dh0002,1.4684628244421975e-05,1.302495705675436e-05,7.980279521161905e-06,9.989821336653726e-06,0.1735471387730749,0.1970934556442219,8.400375206725267e-06,1.055961662113673e-05,1.3367020465994663e-05,2.1780725469365857e-05,1.2917616520663802e-05,0.0192065325160276,4.0593326991552605e-05,1.3733572702536889e-05,0.0210772297293845,1.743690300719298e-05,9.591134318407818e-06,0.2847918917205465,0.0009771331345754,1.2869702270718117e-05,2.6177166759890104e-05,7.16586961525714e-05,3.539495994358733e-05,4.283296027613273e-05,3.490602430086082e-05,0.0003486714452334,2.567495117386035e-05,1.5988900973369973e-05,1.19713725841841e-05,3.632072975100681e-05,1.3149464336152064e-05,3.544932395597557e-05,8.910216353703898e-06,0.0105285498298956,0.0001618305369478,2.887147576138185e-05,5.949446046578312e-05,1.6029360614753474e-05,0.0181626085152127,4.455059442988237e-06,2.512502072502338e-05,0.0029179070907759,8.919486938600309e-06,1.323669958965716e-05,6.649404139396333e-05,1.634769180572262e-05,1.8365319049590256e-05,1.5180753785344327e-05,1.085269367816653e-05,0.2703383145545576
dh0003,2.372446146898023e-05,2.1043099401952505e-05,1.2892926593726653e-05,1.61395390770934e-05,0.2063255278010205,0.1903670618821624,1.3571632498945511e-05,1.7060099410451414e-05,2.1595736488666103e-05,3.5188904585357225e-05,2.086968020671292e-05,0.0233157773440424,0.0062369947525696,2.218793768487397e-05,0.0001095706960379,2.817103209198599e-05,0.0139011729601083,0.0605103737947139,0.0015786547003739,2.079227002255772e-05,4.229178797209167e-05,0.2068580816997878,5.718403962297855e-05,6.920086084300266e-05,5.6394115995114e-05,0.0005633130188989,4.148040928946072e-05,2.5831642365079684e-05,0.0416763735474296,5.867971181567514e-05,2.12442531597128e-05,5.727187003282866e-05,1.4395331025422666e-05,3.852429419845312e-05,0.0264899551702087,4.66447092056066e-05,9.611915340617452e-05,2.589700889578612e-05,2.927259033693249e-05,7.197586778360512e-06,0.0401547715000342,0.0031713128823959,1.441030856727861e-05,2.13851902931608e-05,0.0016502807248538,2.641130424932297e-05,2.9670979537601715e-05,2.4526001084656936e-05,1.7533594226337325e-05,0.1760159734629292
dh0004,1.585013515989457e-05,1.4058737229510673e-05,8.613667770050776e-06,1.0782705273407678e-05,0.323382885982553,0.0127674966718885,9.067106106073834e-06,1.1397724742896584e-05,1.442794993135572e-05,2.3509443809116734e-05,1.394287716299403e-05,0.0001155676091883,4.381518610457894e-05,1.4823595118666666e-05,7.320336202511358e-05,1.8820855716178173e-05,1.0352374793091068e-05,0.0363034535566927,2.391880806859353e-05,1.3891159998277071e-05,2.825482704371244e-05,7.734618817003506e-05,0.0392074103837278,0.4350305746121969,3.7676486857838485e-05,0.0828378318539386,2.7712751017987987e-05,1.725792694699977e-05,1.2921530620351317e-05,0.0051930463914267,1.4193126549689342e-05,0.0361151633135037,9.617412927273518e-06,2.573779264846136e-05,0.00120544347713,3.116298114372423e-05,6.421648706060144e-05,0.010324987428049,0.0144503169608327,4.808653861806202e-06,2.711917303987891e-05,0.0021187304034704,9.627419310899553e-06,1.42872855938101e-05,7.177161899364302e-05,1.7645194713828033e-05,1.98229593793881e-05,1.6385637778619843e-05,1.1714063085881262e-05,8.733614964678313e-05
dh0005,3.833232381095996e-05,3.399996671437758e-05,2.083148811229519e-05,2.6077137256484944e-05,0.1663464673626043,0.0782410465932307,2.192809359542813e-05,2.7564514191550167e-05,3.489287902707851e-05,5.68557683335632e-05,0.0075122216294501,0.0002794913086089,0.0001059636327801,3.5849716257881777e-05,0.0101483724743455,4.5516781304008594e-05,2.503641633197441e-05,0.0030407351959442,5.784578407744175e-05,3.359469416457345e-05,6.833211001271095e-05,0.0001870557632832,0.0100637297826791,0.0001118099059613,9.111766428013528e-05,0.2526863910679023,6.702114114471006e-05,4.173695917194229e-05,3.124972064123619e-05,0.349091564098706,3.4324976872704695e-05,9.2535877799715e-05,2.3258968004561355e-05,6.22448573483791e-05,0.0477862828192939,7.536525537893409e-05,0.0001553025984433,4.184257383572357e-05,4.729660199233618e-05,1.162935678882908e-05,6.558561879525374e-05,0.020080989043583,0.0324301245667636,3.4552693225439655e-05,0.0076520759609792,4.267353626039325e-05,4.7940291370188216e-05,3.962739540344287e-05,2.8329553964068545e-05,0.0126753854799724
dh0006,3.9212066344389255e-05,3.478027987778841e-05,2.1309579297619388e-05,2.6675618238429595e-05,0.2084148696408671,0.2304893959969898,2.2431352325789822e-05,2.819713108342482e-05,3.569368489382712e-05,5.816063150649552e-05,3.44936506112815e-05,0.0002859057486288,0.000108395541558,3.667248193102401e-05,0.0001810997230877,4.656141007985356e-05,2.561101234239381e-05,0.1765136162763703,5.917336851723359e-05,3.436570615695556e-05,6.990035992820301e-05,0.0001913487696737,9.451444697567678e-05,0.0001143759891035,9.320885199965067e-05,0.0009310503211466,6.855930378767281e-05,4.2694839481537854e-05,3.196691453069245e-05,9.698651140277284e-05,3.511274915238218e-05,9.46596141004438e-05,2.379277084777519e-05,0.1071655849965667,0.0029821783298881,0.2703819194186228,0.0001588668566937,4.280287804511557e-05,4.838207838204149e-05,1.1896255290835176e-05,6.709083561226727e-05,0.0001414918546658,2.381752590346735e-05,3.534569168869125e-05,0.0001775576963371,4.365291139781635e-05,4.904054069478799e-05,4.053686036041639e-05,2.8979728832103696e-05,0.0002160631981788
dh0007,1.644336064419074e-05,1.4584915783664055e-05,8.936052859067814e-06,1.11862712678495e-05,0.0200287284321997,0.2773741357486594,9.406462102516718e-06,1.1824309167084184e-05,1.4967947066969188e-05,2.438933543455128e-05,0.0128466325567152,0.0001198929761482,4.545506391850343e-05,1.5378400128502296e-05,7.594315568941851e-05,1.952526682273762e-05,1.0739834741431832e-05,0.0750893447754305,2.4814021034107e-05,1.4411066613222828e-05,2.931232486865984e-05,0.0236058820711055,3.963410456510341e-05,4.796293113829999e-05,3.908661061623855e-05,0.0324708503365602,2.874996047885257e-05,1.790384207439796e-05,0.001082752466541,4.067075095229977e-05,1.4724334913919612e-05,3.9694979586716894e-05,9.977365343067053e-06,0.0043040903641375,0.0001812124786535,3.232932290640364e-05,6.66199275519302e-05,1.7949147441597587e-05,2.028875388927948e-05,0.5079449655216571,0.0043055234456686,0.0396251846493669,9.987746237175976e-06,1.482201806329158e-05,7.445782658788207e-05,1.830560417242349e-05,2.056487637627124e-05,1.699890560306835e-05,1.2152487154641318e-05,9.060489336083488e-05
dh0008,2.100253954690337e-05,1.862881178385388e-05,1.1413713268649614e-05,1.4287839923306664e-05,0.1416784566174946,0.1111608281611648,1.2014550831757792e-05,1.5102783808626958e-05,1.9118044480830527e-05,3.115166011808073e-05,1.8475289078566184e-05,0.0001531351788382,5.805819127932732e-05,1.9642302072908715e-05,9.69995833088504e-05,2.4938952412581432e-05,1.3717621887945275e-05,0.2352247799543534,3.16940964419365e-05,0.076505479695061,3.7439625365341846e-05,0.0615653155837008,5.062327990895046e-05,6.126140390732304e-05,4.992398470029207e-05,0.0018645243610787,3.6721336653425165e-05,2.2867962294672508e-05,1.7121933354053273e-05,5.194735271951294e-05,1.880688704840277e-05,0.0014165416216046,1.2743745924328467e-05,3.4104378448272114e-05,0.0002314564724126,4.1293133293055513e-05,0.0219385407543175,2.292582928347648e-05,2.591412820879312e-05,0.3387348376575924,3.593480424637345e-05,7.578504654878161e-05,1.2757005083679932e-05,1.8931654378642875e-05,0.0041926241878511,2.3381119217689284e-05,2.6266809973690284e-05,2.1712118034013425e-05,1.552195427573746e-05,0.0042132482814171
dh0009,2.165318512730125e-05,1.920592075813577e-05,1.1767302989435088e-05,1.4730468295878991e-05,0.020741907330567,0.1793795812967309,1.238675412563524e-05,1.557065863466134e-05,1.9710309579035587e-05,3.211671912595077e-05,1.9047642015157345e-05,0.0001578792112011,5.985679784675827e-05,2.025080834444969e-05,0.0001000045699219,2.5711545609264232e-05,1.4142585261304412e-05,0.0003094987688886,3.267595978891877e-05,1.89769901670451e-05,3.859948161612098e-05,0.0001056641671784,5.219155755768173e-05,6.315924400481476e-05,5.147059861945906e-05,0.0160038209428965,3.7858940767751247e-05,2.357639750873345e-05,1.7652360174095816e-05,5.35566493183761e-05,1.938951268335316e-05,5.227171988831157e-05,1.3138539227531664e-05,0.59568408208851,0.0030549338055412,4.257236881683141e-05,0.0113529552448471,2.363605718077138e-05,2.6716931743635225e-05,6.569197753358107e-06,3.704804207712011e-05,0.1718728571313333,1.315220914737295e-05,1.9518145227693564e-05,9.804863726889632e-05,2.410545171327972e-05,2.7080539369717165e-05,2.238474591353053e-05,1.600281474149649e-05,0.0001193116523947
dh0010,1.6766078341059712e-05,1.487115960769615e-05,9.11143199598388e-06,1.1405813232428825e-05,0.2766503848352316,0.0004212890035006,9.591073499851843e-06,1.205637327514814e-05,1.5261708269975796e-05,2.486800097804429e-05,1.4748604252033724e-05,0.0001222459978918,4.634716583466458e-05,0.0021963489165704,7.743361745251979e-05,1.9908470066656752e-05,1.095061493457518e-05,0.272823232601076,2.530102146494741e-05,1.4693898470254902e-05,2.988760909286318e-05,8.181584807695605e-05,4.041196422648796e-05,4.89042525024036e-05,3.985372515136511e-05,0.0167531085917915,2.9314207729251912e-05,1.8255223206538776e-05,1.3668236420808735e-05,4.146895585464707e-05,1.5013314980353067e-05,4.0474033982389465e-05,1.0173181297847102e-05,2.722512101738596e-05,0.0045461063574344,3.29638187892981e-05,6.792741146901694e-05,1.8301417737704023e-05,0.4252510833788672,5.086535007353109e-06,2.868632823282427e-05,6.04983042493578e-05,1.0183765927573747e-05,1.5112915261001932e-05,7.591913725485936e-05,1.8664870294851247e-05,2.096848301630988e-05,1.7332526435465125e-05,1.2390992089893782e-05,9.23831066557429e-05
