idno,filename,type,year
dh0001,_AKIR_D_lan_Canan_Vom_Finden__Filtern_und_Auswerten_der_rele.xml,Poster,2023
dh0002,102_final-LÜSCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode.xml,Vortrag,2020
dh0003,103_final-KUCZERA_Andreas_Aristoteles_multimodal___Mit_ediarum_in_den_.xml,Vortrag,2019
dh0004,104_final-KLEYMANN_Rabea_Prototypen_als_Proto_Theorie____Pl_doyer_eine.xml,Vortrag,2019
dh0005,105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere.xml,Poster,2020
dh0006,106_final-SEEMANN_Nina_UPB_Annotate__Ein_maßgeschneidertes_Toolkit_für.xml,Poster,2019
dh0007,107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software.xml,Workshop,2020
dh0008,108_final-HADERSBECK_Maximilian_Spielräume_bei_der_Retroperspektivisch.xml,Vortrag,2020
dh0009,108_final-HODEL_Tobias_Automatic_Text_and_Feature_Recognition__Mit_REA.xml,Workshop,2019
dh0010,109_final-WEHRHEIM_Lino_Von_Wirtschaftsweisen_und_Topic_Models__50_Jah.xml,Vortrag,2019
dh0011,109_final-WÜBBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur.xml,Poster,2020
dh0012,110_final-NICKA_Isabella_Erzählerische_Spielräume__Medienübergreifende.xml,Vortrag,2020
dh0013,111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_.xml,Vortrag,2020
dh0014,111_final-STEYER_Timo_Barcamp__Digitales_Publizieren_zwischen_Experime.xml,Workshop,2019
dh0015,112_final-GEIERHOS_Michaela_Potentielle_Privatsphäreverletzungen_aufde.xml,Vortrag,2019
dh0016,113_final-MANDL_Thomas_Herausforderungen_für_die_Klassifikation_histor.xml,Poster,2019
dh0017,113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in.xml,Poster,2020
dh0018,114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re.xml,Poster,2020
